"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC02002468.hg.1",-1.24683775151515,5.44382411616162,-9.31396139614078,2.35544230415025e-17,3.43208383503282e-15,28.8501183314956,"TC02002468.hg.1"
"TC21000805.hg.1",-1.32302046060606,3.20850467676768,-9.30082329286754,2.56733451114408e-17,3.7254348092472e-15,28.7658085266912,"TC21000805.hg.1"
"TC05002288.hg.1",-1.04038244242424,2.50452820707071,-9.25177733574892,3.53967704219389e-17,4.96257949222189e-15,28.4514770199469,"TC05002288.hg.1"
"TC08001665.hg.1",-1.24792001212121,4.74203702020202,-9.24576942066838,3.68154774573254e-17,5.13110260221928e-15,28.4130171342853,"TC08001665.hg.1"
"TC16001249.hg.1",-2.60547072727273,4.33260263636364,-9.21224374310639,4.58342904705397e-17,6.16864821918677e-15,28.1985806108837,"TC16001249.hg.1"
"TC12000653.hg.1",-1.11905365454546,4.94456956060606,-9.16580737338341,6.20553436744582e-17,8.10108164502298e-15,27.9020716193187,"TC12000653.hg.1"
"TC10002589.hg.1",-1.25032978181818,3.95671781818182,-9.16230164115038,6.34896873636607e-17,8.2458254547835e-15,27.8797106501567,"TC10002589.hg.1"
"TC12000216.hg.1",-1.9873422909091,3.87644284848485,-9.15406437778621,6.69908418875056e-17,8.60545563284619e-15,27.8271834636778,"TC12000216.hg.1"
"TC08002542.hg.1",-1.21758244848485,3.97559017171717,-9.13733099669202,7.47046501983708e-17,9.42467986751288e-15,27.7205364389852,"TC08002542.hg.1"
"TC08000598.hg.1",-1.15347962424242,5.58420558585859,-9.13694251540933,7.48938404903712e-17,9.43167555875438e-15,27.7180614530458,"TC08000598.hg.1"
"TC15001625.hg.1",-1.25777050909091,4.12707712121212,-9.13173194533397,7.747787487004e-17,9.68789391748197e-15,27.6848693600726,"TC15001625.hg.1"
"TC15001677.hg.1",-1.25777050909091,4.12707712121212,-9.13173194533397,7.747787487004e-17,9.68789391748197e-15,27.6848693600726,"TC15001677.hg.1"
"TC15001844.hg.1",-1.25777050909091,4.12707712121212,-9.13173194533397,7.747787487004e-17,9.68789391748197e-15,27.6848693600726,"TC15001844.hg.1"
