"","logFC","AveExpr","t","P.Value","adj.P.Val","B","TC_ID"
"TC21001069.hg.1",1.33995531515152,5.46979173232323,8.04076993049471,7.83857691878536e-14,4.40478055811554e-12,20.9208614944238,"TC21001069.hg.1"
"TC14000316.hg.1",1.1065754969697,4.37523818686869,8.03589555258418,8.07742748457742e-14,4.52457838359693e-12,20.8915558376403,"TC14000316.hg.1"
"TC11001517.hg.1",1.35073405454545,3.9369681969697,8.01512681532442,9.17853679834111e-14,5.07286795164114e-12,20.7667906931622,"TC11001517.hg.1"
"TC01000846.hg.1",1.00510545454546,4.68018372727273,8.01026195488461,9.45722707823611e-14,5.21056269717535e-12,20.7375893078929,"TC01000846.hg.1"
"TC06001142.hg.1",1.7198274,5.82492743939394,7.95142109412029,1.35700017791302e-13,7.2063044839578e-12,20.3851091691739,"TC06001142.hg.1"
"TC01003057.hg.1",1.14968866060606,5.42721885353535,7.94443208956582,1.41634408691847e-13,7.44853348558918e-12,20.3433302588562,"TC01003057.hg.1"
"TC01003174.hg.1",1.08134068484848,3.89533238888889,7.86442935878359,2.30877419475732e-13,1.15394530500971e-11,19.8664366403872,"TC01003174.hg.1"
"TC03001632.hg.1",1.05637515151515,4.20468798989899,7.82374090503492,2.95734454527277e-13,1.43139607117637e-11,19.6248545649412,"TC03001632.hg.1"
"TC12001106.hg.1",1.38818572727273,5.78373516666667,7.80494377630857,3.31497215866075e-13,1.57322867796253e-11,19.5134703648529,"TC12001106.hg.1"
"TC08000729.hg.1",1.13929955757576,6.62755860101011,7.79676566417861,3.48362373283641e-13,1.64551638654268e-11,19.4650540419028,"TC08000729.hg.1"
"TC13000701.hg.1",1.07779663030303,3.99537188888889,7.77423725161437,3.99337872897411e-13,1.86259952449366e-11,19.3318187166411,"TC13000701.hg.1"
"TC01002441.hg.1",1.07810138181818,8.93443269696969,7.77376795716014,4.0047468355048e-13,1.86666729068278e-11,19.3290454215317,"TC01002441.hg.1"
"TC17001769.hg.1",1.29595661212121,4.47548357070707,7.73873775970881,4.95019472444584e-13,2.2508225825409e-11,19.1222845406296,"TC17001769.hg.1"
"TC01002766.hg.1",1.34632454545455,4.24820278787879,7.72296869504247,5.44489117787238e-13,2.44891620240494e-11,19.0293715440221,"TC01002766.hg.1"
"TC02002624.hg.1",1.01342350909091,8.03165704545454,7.70328856313554,6.13134626324312e-13,2.71779341623315e-11,18.9135557538291,"TC02002624.hg.1"
"TC0X000475.hg.1",1.0050822969697,3.80704121717172,7.65766722844243,8.06930411966677e-13,3.49552539576941e-11,18.6456869981233,"TC0X000475.hg.1"
"TC01001172.hg.1",1.11239044242424,4.58310648989899,7.57002034701811,1.36448760559549e-12,5.58813933852558e-11,18.1334775056614,"TC01001172.hg.1"
"TC12000062.hg.1",1.27401799393939,4.12790138888889,7.49766363208344,2.10025705459731e-12,8.31647547789815e-11,17.7130561033004,"TC12000062.hg.1"
"TC18000006.hg.1",1.11411007272728,6.5133473030303,7.49266179117143,2.16364151961386e-12,8.54347653346741e-11,17.6840757315663,"TC18000006.hg.1"
"TC02001267.hg.1",1.8771362,4.68312343939394,7.47407947215668,2.41611698427784e-12,9.4087144164675e-11,17.5765047902753,"TC02001267.hg.1"
"TC11003312.hg.1",2.69947530909091,5.74922793939394,7.45475931851844,2.70948687070663e-12,1.04415924908658e-10,17.4648200544605,"TC11003312.hg.1"
"TC01006307.hg.1",1.04146835151515,5.52949726262626,7.43612685017439,3.0256583736374e-12,1.14719626604317e-10,17.3572633415746,"TC01006307.hg.1"
